LP,Imię,Nazwisko,Nazwisko Imię,ImieBP,NazwBP,Przełożony,Login,Mail,EmployeeID,Biuro,Wydział,Stanowisko,Firma,Telefon,Miasto,Kraj,Ulica,Budynek,Pomieszenie,Kod,N,E,Obszar,Grupa 1,Grupa2,Grupa3
0,Kamila,Iwon,Iwon Kamila,Kamila,Iwon,,Kamila.Iwon,Kamila.Iwon@areotrans.pl,164933,Rada Nadzorcza,Rada Nadzorcza,Przewodniczący Rady Nadzorczej,Grupa AreoTrans,501-491-137,Olsztyn,Polska,Słoneczna,54,301,10-710,53.74378797308898,20.456546179587995,Zarząd,grp_RadaNadzorcza,grp_Menadżerowie,grp_Audyt
0,Jakub,Godlewski,Godlewski Jakub,Jakub,Godlewski,Kamila.Iwon,Jakub.Godlewski,Jakub.Godlewski@areotrans.pl,166254,Rada Nadzorcza,Rada Nadzorcza,Członek Rady Nadzorczej,Grupa AreoTrans,502-327-692,Olsztyn,Polska,Słoneczna,54,302,10-710,53.74378797308898,20.456546179587995,Zarząd,grp_RadaNadzorcza,grp_Menadżerowie,grp_Audyt
0,Konrad,Górny,Górny Konrad,Konrad,Gorny,Kamila.Iwon,Konrad.Gorny,Konrad.Gorny@areotrans.pl,166259,Rada Nadzorcza,Rada Nadzorcza,Członek Rady Nadzorczej,Grupa AreoTrans,501-124-902,Olsztyn,Polska,Słoneczna,54,303,10-710,53.74378797308898,20.456546179587995,Zarząd,grp_RadaNadzorcza,grp_Menadżerowie,grp_Audyt
0,Julia,Grzywińska,Grzywińska Julia,Julia,Grzywinska,Kamila.Iwon,Julia.Grzywinska,Julia.Grzywinska@areotrans.pl,166261,Rada Nadzorcza,Rada Nadzorcza,Członek Rady Nadzorczej,Grupa AreoTrans,504-370-995,Olsztyn,Polska,Słoneczna,54,304,10-710,53.74378797308898,20.456546179587995,Zarząd,grp_RadaNadzorcza,grp_Menadżerowie,grp_Audyt
0,Radosław,Hubacz,Hubacz Radosław,Radoslaw,Hubacz,Kamila.Iwon,Radoslaw.Hubacz,Radoslaw.Hubacz@areotrans.pl,166271,Rada Nadzorcza,Rada Nadzorcza,Członek Rady Nadzorczej,Grupa AreoTrans,503-379-369,Olsztyn,Polska,Słoneczna,54,305,10-710,53.74378797308898,20.456546179587995,Zarząd,grp_RadaNadzorcza,grp_Menadżerowie,grp_Audyt
1,Adam,Nowak,Nowak Adam,Adam,Nowak,Kamila.Iwon,Adam.Nowak,Adam.Nowak@tanibilet.pl,60000001,Zarząd,Zarząd,Prezes,Tani Bilet sp. z.o.o.,508-180-404,Olsztyn,Polska,Słoneczna,54,204,10-710,53.74378797308898,20.456546179587995,Północ,grp_Zarząd,grp_Menadżerowie,grp_TaniBilet
2,Michał,Lewandowski,Lewandowski Michał,Michal,Lewandowski,Adam.Nowak,Michal.Lewandowski,Michal.Lewandowski@tanibilet.pl,60000002,Biuro Sprzedaży,Wydział Sprzedarzy,Dyrektor Regionalny,Tani Bilet sp. z.o.o.,506-381-554,Olsztyn,Polska,Słoneczna,54,204,10-710,53.74378797308898,20.456546179587995,Północ,grp_DyrReg_TB,grp_Menadżerowie,grp_TaniBilet
3,Katarzyna,Kowalczyk,Kowalczyk Katarzyna,Katarzyna,Kowalczyk,Adam.Nowak,Katarzyna.Kowalczyk,Katarzyna.Kowalczyk@tanibilet.pl,60000003,Biuro Marketingu,Wydział Marketingu,Dyrektor Regionalny,Tani Bilet sp. z.o.o.,514-191-256,Kraków,Polska,Babinskiego,69,7,30-393,50.006130788123365,19.876640908185077,Południe,grp_DyrReg_TB,grp_Menadżerowie,grp_TaniBilet
4,Jakub,Jankowski,Jankowski Jakub,Jakub,Jankowski,Adam.Nowak,Jakub.Jankowski,Jakub.Jankowski@tanibilet.pl,60000004,Biuro Kadr,Wydział Kadry,Dyrektor Regionalny,Tani Bilet sp. z.o.o.,572-875-309,Lublin,Polska,Ametystowa,18,102,20-577,51.22153818703002,22.510440189043038,Wschód,grp_DyrReg_TB,grp_Menadżerowie,grp_TaniBilet
5,Michał,Wojciechowski,Wojciechowski Michał,Michal,Wojciechowski,Adam.Nowak,Michal.Wojciechowski,Michal.Wojciechowski@tanibilet.pl,60000005,Biuro Utrzymania,Wydział Utrzymania,Dyrektor Regionalny,Tani Bilet sp. z.o.o.,504-512-535,Wrocław,Polska,Generała Józefa Bema,2,701,50-265,51.11782536956,17.041772018966643,Zachód,grp_DyrReg_TB,grp_Menadżerowie,grp_TaniBilet
